executor,rps,duration_ms,throughput_rps,p95_ms,p99_ms
PLATFORM,500,10427,479.52,1,15
VIRTUAL,500,10044,497.81,0,0
PLATFORM,1000,10106,989.51,0,0
VIRTUAL,1000,10052,994.83,0,0
PLATFORM,1500,10070,1489.57,0,0
VIRTUAL,1500,10070,1489.57,0,0
PLATFORM,2000,10065,1987.08,0,0
VIRTUAL,2000,10061,1987.87,0,0
PLATFORM,3000,10303,2911.77,0,2
VIRTUAL,3000,10076,2977.37,0,1
PLATFORM,4000,10097,3961.57,0,2
VIRTUAL,4000,10164,3935.46,0,0
PLATFORM,5000,10121,4940.22,0,7
VIRTUAL,5000,10161,4920.78,1,10
